68,University of Pennsylvania,University of Pennsylvania,Oxford University,Computer Science Engineering,Finance,Computing and Maths,year:2000,year:2005,year:2000,year:2005,year:2002,year:2003,
69,,,,,,,,,,,,,
70,Bellarmine College Prep; San Jose; CA,Oregon State University,Santa Clara University,Physics,Physics And Mathematics,Physics,year:2001,year:2001,year:2010,year:2010,year:2005,year:2005,
71,General Assembly,Weatherhead School of Management at Case Western Reserve University,Bucknell University,Data Science,Finance; Strategy,Management,year:2016,year:2016,year:2002,year:2003,year:1996,year:2000,
72,University of South Florida,Lehigh University,,Engineering Management,Industrial Engineering,,year:1996,year:1997,year:1988,year:1992,,,
73,Santa Rosa Junior College,Sonoma State University,College of Marin,Economics; Statistics; Logic; Ethics,Management & Economics,Physics; Calculus; Electronics; Chemistry,year:2009,year:2010,year:2010,year:2011,year:1978,year:1980,
74,Pontifícia Universidade Católica do Rio de Janeiro,Universidade Federal do Rio de Janeiro,IBMEC,Computing Science,Electronic Engineering,Business Administration and Management,year:2008,year:2009,year:2002,year:2006,year:2012,year:2013,
75,The University of Calgary,University of Guelph,,Biochemistry,Applied Microbiology,,,,,,,,
76,University of South Florida,University of Vermont,,Management Information Systems; General,Exercise Physiology,,year:2014,year:2016,year:2008,year:2012,,,
77,I.T.E.S.M.,,,,,,,,,,,,
78,Maria Ana Sanz,,,Ingeniería de software,,,year:2009,year:2009,year:2009,year:2009,,,
79,Villanova University,University of Phoenix,,Psychology,Marketing,,year:1994,year:1998,year:2005,year:2007,,,
80,,,,,,,,,,,,,
81,Imperial College London,Imperial College London,,Mathematics,Statistics,,year:2011,year:2014,year:2014,year:2015,,,
82,University of South Africa/Universiteit van Suid-Afrika,University of Johannesburg,,Management Information Systems; General,Electronics Engineering,,year:2001,,year:1993,year:1996,,,
83,Data Science Dojo,University of California; Davis,Data Science Dojo,Data Science,Systems Analysis,Data Science,year:2015,year:2015,year:1976,year:1976,year:2015,year:2015,
84,McMaster University,Mohawk College,,Life Science,Software Engineering,,month:9;year:1991,month:4;year:1996,month:9;year:1996,month:4;year:1998,,,
85,John Hopkins University,University of Nottingham,John Hopkins University,Civil Engineering,Civil Engineering,,year:2015,year:2015,year:1991,year:1991,year:2015,year:2015,
86,State University of New York at Binghamton,State University of New York at Binghamton,,MBA - Information Systems,Computer Science,,year:2010,year:2011,year:2007,year:2010,,,
87,,,,,,,,,,,,,
88,Carnegie Mellon University,,,Chemical Engineering,,,year:2006,year:2010,,,,,
89,University of Arkansas at Little Rock,University of Arkansas at Little Rock,University of Arkansas at Little Rock,Information Quality,Information Science,Integrated Computing,year:2006,year:2007,year:2002,year:2006,year:2010,year:2014,
90,Sheffield-Chapin/Meservey-Thornton,Iowa State University,University of Nebraska at Omaha,General education,Computer Engineering,Computer Science,year:1988,year:1991,year:1991,year:1996,year:1999,year:2002,
91,The Process Group,Pragmatic Marketing,McGill University,Software Writing Requirements,Practical Product Management,Mini MBA,year:2006,year:2006,year:2006,year:2006,year:2013,year:2014,
92,McGill University,,,Physics,,,year:1998,year:2002,,,,,
93,Miami University,University of Dayton,LHS,MIS,International Business,,year:1998,year:2002,year:2003,year:2005,,,
94,Viterbo University,Data Science Dojo,,Biological Psychology,Data Science,,year:2009,year:2012,,,,,
95,,,,,,,,,,,,,
96,University of California; Davis,University of London,CFA Institute,Molecular Biology and Biochemistry,Finance (unfinished),Chartered Financial Analyst - Level II Candidate,,,,,,,
97,University of Washington,I Love Hot Yoga,University of Washington Information School,Applied Computational and Math Sciences,Master's of Science in Information Management; Specialization in Data Science,,year:2014,year:2014,year:2016,month:6;year:2019,,,
98,Loughborough University,,,Chemical Engineering,,,year:2000,year:2005,,,,,
99,The University of Calgary,University of Calgary,,Biochemistry,Biochemistry,,year:2003,year:2009,year:1999,year:2003,,,
100,Melbourne Business School,University of Melbourne,University of Melbourne,,,,year:2012,year:2013,year:2001,year:2005,year:2001,year:2005,
101,Universitat Politècnica de Catalunya,Universitat Politècnica de Catalunya,,Telecommunications,Information Technology,,year:2002,year:2006,year:2007,year:2009,,,
102,University of Washington,University of Washington; Bothell,University of Washington,Economics,Computer Science & Software Engineering,Economics,year:1992,year:1992,year:2010,year:2010,year:1992,year:1992,
103,Sheffield Hallam University,Royal Navy,Royal Navy,Electrical & Electronic Engineering,Engineering,Electrical & Electronic Engineering,year:2002,year:2002,year:1996,year:1996,year:1996,year:1996,
104,Ryerson University,University of Toronto,Canadian Securities Institute,Ted Rogers School of Information Technology,Certificate in Business Analysis,CSC,year:2003,year:2008,year:2010,year:2011,year:2012,,
105,University of Miami,University of Central Florida,,Biomedical Engineering,Computer Science,,,,,,,,
106,DeVry Institute of Technology,,,Computer Science,,,year:1981,year:1984,,,,,
107,Washington University,University of Rochester,New York Institute of Technology,Electrical Engineering,Electrical Engineering,Electrical Engineering,month:1;year:1997,month:8;year:1998,year:1991,year:1993,year:1993,year:1995,
108,,,,,,,,,,,,,
109,Army Public School (CBSE),Grace Convent Senior Secondary School,GLA Institute of Technology & Management; UP Technical University,PCM,Science and Math,Electronics & Communication Engineering,year:2004,year:2006,year:1997,year:2004,year:2006,year:2010,
110,Bangalore University,Space Central School,Goa Institute of Management,Economics; Mathematics; Statistics,Marketing,,year:1998,year:2001,year:2001,year:2003,,,
111,DePaul University,University of Illinois at Urbana-Champaign,University of Houston,Applied Mathematics; Statistics Concentration,Chemical Engineering,,year:1993,,year:1985,,year:1986,,
112,Iowa State University,University of Colorado at Boulder,Grinnell College,Political Science,Political Science and Quantative Analysis,Political Science,year:1996,year:1998,year:1998,year:2002,year:1991,year:1995,
113,National Technical University of Athens,,,Electrical and Computer Engineer,,,year:2005,year:2012,,,,,
114,University of Illinois\t\t\t\t\t\t\tUrbana,,,Computer Engineering,,,year:2009,year:2013,,,,,
115,Western University,,,Computer Science,,,year:2011,year:2015,,,,,
116,Massachusetts Institute of Technology,University of South Florida,Robert Morris University,Information Systems and Communication,,,year:2006,year:2007,year:2008,year:2011,,,
117,University of Arizona,University of Arizona; Eller College of Management,,Political Science and Sociology,Entrepreneurship,,year:2004,year:2008,year:2013,year:2015,,,
118,,,,,,,,,,,,,
119,DeVry,Franklin University,,Computer Information Systems,Computer Science,,year:1997,year:2001,year:2001,year:2004,,,
120,Ecole Nationale Supérieure d'Informatique et de Mathématiques Appliquées de Grenoble,Universidade Federal do Rio Grande do Sul,Ecole Nationale Supérieure d'Informatique et de Mathématiques Appliquées de Grenoble,Computer Science,Computer Science and Applied Mathematics,Computer Science,year:2008,year:2009,year:2005,year:2007,year:2002,year:2006,
121,Curtin University,The University of Georgia,,Marketing and Management,Principles of Marketing Research,,year:2002,year:2004,year:2010,year:2011,,,
122,Siberian Federal University (former Krasnoyarsk State University),Data Science Dojo,Market Research Society UK; Online Distance Learning,International management,Data science & Engineering boot camp,Market Research - An Introduction,year:2008,year:2012,year:2015,year:2015,year:2011,year:2012,
123,,,,,,,,,,,,,
124,University of Texas at El Paso,Universidade de Brasília,Data Science Dojo (Silicon Valley),Signal Processing,Signal Processing,Data Science,year:2013,year:2014,year:2010,year:2015,year:2015,year:2015,
125,,,,,,,,,,,,,
126,University of Mindanao,University of Mindanao,University of the Philippines,Physics,,,year:1999,year:2005,year:1993,year:1998,year:1989,year:1993,
127,The Academic College of Tel-Aviv; Yaffo,,,Computer Science,,,year:2010,year:2014,,,,,
128,Drew University,The Johns Hopkins University,,Computer Science,Information Systems & Technology,,year:1996,year:2000,year:2005,year:2007,,,
129,Data Science Dojo,Massachusetts Institute of Technology,Stanford University,Physics; Mathematics,Physics,,year:1999,year:2003,year:2003,year:2009,,,
130,University of Waterloo,Wilfrid Laurier University,,Mathematics (Major: Statistics),Business Administration (Major: Marketing),,year:2010,year:2015,year:2010,year:2015,,,
131,McGill University,McGill University,McGill University,Biochemistry / Mathematics,Business Administration and Management; General,Law,year:2001,year:2005,year:2005,year:2009,year:2005,year:2009,
132,Federal University of Campina Grande,Hochschule Esslingen - University of Applied Sciences,University of Sao Paulo,Computer Science,International Industrial Management,Computer Science,year:1993,year:1997,year:2000,year:2001,year:1999,year:1999,
