s,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1
77,Microsoft,Casa de Bolsa Inverlat,Microsoft,Casa de Bolsa Inverlat,,Software Engineer,Factoring Project Manager,Data Scientist,Factoring Project Manager,,Redmond; WA,,,,,month:7;year:2000,month:1;year:2016,year:1986,year:1993,month:2;year:2016,,year:1986,year:1993,,,
78,DSLC,ACCIONA,,,,MAGUS,Desarrollador Web,Desarrollador sistemas SCADA,,,Burlada,Sarriguren,,,,year:2011,year:2011,month:6;year:2012,month:6;year:2012,year:2011,year:2011,month:6;year:2012,month:6;year:2012,,,
79,Customer Relationship Metrics,J. Lodge,Charter Communications,Time Warner Cable,Kaplan University,VP Analytics and Client Relations,Vice President of Analytics,Director; Customer Contact Analytics (Speech Analytics),Sr. Mgr. Quality Analytics & Customer Perspective (Speech Analytics),Adjunct Professor - Statistics; Quantitative Methods & Misc. Business courses,Ft. Myers; FL,Herndon; VA,,,,month:2;year:2007,month:3;year:2012,month:3;year:2012,month:6;year:2013,month:6;year:2015,,month:9;year:2013,,month:8;year:2008,month:8;year:2012,
80,Tangerine,,,,,Senior Manager; Business Intelligence,,,,,Toronto; Canada Area,,,,,year:1997,,,,,,,,,,
81,KFIT,PwC Singapore,,,,Business Intelligence Analyst,Associate,,,,Kuala Lumpur; Malaysia,,,,,month:3;year:2016,month:6;year:2016,month:8;year:2016,,,,,,,,
82,IT-IQ,Inobits Consulting,EYC3,Velrada,STANLIB,Senior Trainer,Senior Consultant,Senior Manager,Business Intelligence Practice Lead - Melbourne,Manager MIS,Johannesburg Area; South Africa,Johannesburg Area; South Africa,Melbourne; Australia,Melbourne; Australia,Johannesburg Area; South Africa,year:1999,year:2000,month:2;year:2000,month:9;year:2007,month:7;year:2010,month:5;year:2016,month:6;year:2016,,month:10;year:2007,month:7;year:2010,
83,Microsoft,Microsoft,Disney Interactive,Allrecipes (A division of Meredith Publishing),Costco Wholesale,Lead Software Developer for Xbox Live- Contracted through Insight Global.,Sr. Software Developer for Microsoft Store - Contracted through Insight Global,Senior Software Developer -  Disney Internet Group Contracted Through Insight Global,Senior Software Engineer,Senior Software Developer- Contracted through Insight Global,Greater Seattle Area,Greater Seattle Area,Greater Seattle Area,Seattle,Issaquah headquarters,month:2;year:2014,month:2;year:2014,month:3;year:2013,month:3;year:2013,month:12;year:2012,month:12;year:2012,month:5;year:2015,month:5;year:2015,month:6;year:2012,month:6;year:2012,
84,Vonage Canada,N5R,Stratagene,Genworth Financial Canada - Mortgage Insurance,Canadian Imperial Bank of Commerce (CIBC),Manager; Application Development,Lead Developer/Software Development Manager,Software Development Manager,Director; IT Solutions,Intranet Application Developer,,,,,,month:9;year:2006,month:9;year:2007,month:1;year:2000,month:6;year:2002,month:6;year:2002,month:6;year:2006,year:2007,,month:8;year:1998,month:1;year:2000,
85,Microsoft,Microsoft,Microsoft,Microsoft,,Test Lead,Data Insights Consultant,Test Lead,Data Insights Consultant,,,,,,,month:1;year:2003,month:1;year:2003,month:1;year:2016,month:1;year:2016,month:1;year:2003,month:1;year:2003,month:1;year:2016,month:1;year:2016,,,
86,AXA Equitable,AXA US,AXA Equitable,AXA Equitable,AXA US,Manager - Data Analyst,Manager - Data Scientist,Tech Associate - Systems Analyst,Tech Associate - Data Analyst,Senior Manager - Data Scientist,Syracuse; NY,Syracuse; NY,Syracuse; NY,Syracuse; NY,Syracuse; New York,month:7;year:2013,month:10;year:2014,month:10;year:2014,month:7;year:2015,month:1;year:2012,month:6;year:2012,month:7;year:2012,month:6;year:2013,month:7;year:2015,,
87,,,,,,,,,,,,,,,,,,,,,,,,,,
88,eZauctioning,OSIsoft,Avon,OSIsoft,,Office Manager,Customer Support Engineer,Analytical Department Intern,NOC Analyst,,Arlington; VA,San Leandro; CA,Suffern; NY,San Leandro,,month:6;year:2009,month:8;year:2009,year:2010,year:2014,month:6;year:2009,month:8;year:2009,year:2014,,,,
89,Dawson Education Cooperative,University of Arkansas at Little Rock,Arkansas Department of Education,Arkansas Department of Education,Arkansas Department of Education,Network Project Manager; Research & Technology,Director of Institutional Research,Division Leader; Research & Technology,Division Leader and Director of Information Systems,Chief Information Officer and Assistant Commissioner-Division of Research & Technology,Little Rock; Arkansas,Little Rock; Arkansas Area,Little Rock; Arkansas,Little Rock; Arkansas Area,Little Rock; Arkansas,month:10;year:2006,month:6;year:2009,month:7;year:2015,,month:7;year:2009,month:1;year:2012,month:1;year:2012,month:12;year:2013,month:1;year:2014,month:6;year:2015,
90,DuPont Pioneer,ABC Virtual Communications; Inc,DuPont Pioneer,Pioneer / DuPont,DuPont Pioneer,Informatics Manager - Software Development,Senior Software Engineer,Informatics Manager - Architect,Senior Software Engineer,Informatics Manager - Analysis Systems and Enterprise Data Engineering,Johnston; IA,Johnston; IA,Johnston; IA,,,month:10;year:2010,month:6;year:2013,month:8;year:2004,month:6;year:2007,month:7;year:2013,,year:2007,month:10;year:2010,month:3;year:2016,,
91,Autodesk,Autodesk,Autodesk,Autodesk,Alias,Product Design Team Lead,Senior Program Manager; Innovation and Technology,Technical Product Manager; Media and Entertainment,Senior Product Line Manager; Media and Entertainment,Maya Expert User,Toronto; Canada Area,Toronto; Canada Area,Toronto; Canada Area,Toronto; Canada Area,Toronto; Canada Area,month:1;year:2006,month:3;year:2008,month:4;year:2014,,month:3;year:2008,month:2;year:2011,month:2;year:2011,month:3;year:2014,month:5;year:2000,month:1;year:2006,
92,National Park Service,,,,,Physical Scientist,,,,,,,,,,month:5;year:2006,,,,,,,,,,
93,Atos International,Atos,Siemens IT Solutions and Services,Siemens IT Solutions and Services,Siemens IT Solutions and Services,Lean Skipper / Lean Six Sigma Black Belt,Senior Quality Consultant; Strategic Accounts,Manager of Process Engineering/Quality,Regional Lean Six Sigma Black Belt,Process and Quality Consultant,,,,,,month:5;year:2011,month:10;year:2012,month:8;year:2012,,month:1;year:2008,month:5;year:2008,month:6;year:2008,month:10;year:2009,month:10;year:2009,month:7;year:2011,
94,The Ranch at Rock Creek,Spring ISD,Center for Healthy Minds,Project Vote Smart,Montana Conservation Corps,Driver,High School Science Teacher,Associate Research Specialist,Recreation and Facilities Director,Conservation Intern,Philipsburg; MT,Houston; Texas,Madison; WI,Philipsburg; MT,Fort Benton,month:8;year:2015,month:10;year:2015,month:9;year:2013,month:6;year:2014,month:3;year:2016,,month:9;year:2014,month:4;year:2015,month:5;year:2015,month:8;year:2015,
95,Microsoft,Microsoft,,,,Systems Engineer,Systems Engineer,,,,,,,,,,,,,,,,,,,
96,Founder Institute,Legal Robot,Agnito Labs,McKesson,McKesson,Mentor,Founder & CEO,CEO,Director; Solution Management,Program Manager; Customer Rebates,Palo Alto; CA,San Francisco Bay Area,San Francisco Bay Area,San Francisco; CA,San Francisco; CA,month:1;year:2016,month:1;year:2016,month:8;year:2015,month:8;year:2015,month:7;year:2014,month:7;year:2014,month:5;year:2013,month:5;year:2013,month:7;year:2011,month:7;year:2011,
97,Array Health,Pointmarc; A Merkle Company,All Star Directories,Array Health,Array Health,Data Analyst,Analyst,Business Intelligence Analyst,Jr. Data analyst,Analyst; Client Operations Coordinator,Seattle; Washington,Seattle ,,,,month:4;year:2015,month:10;year:2015,month:11;year:2015,month:5;year:2016,month:8;year:2016,,month:9;year:2014,month:4;year:2015,month:6;year:2014,month:9;year:2014,
98,BP,BNFL,KBR / Granherne,Genesis Oil and Gas Consultants,Genesis Oil and Gas Consultants,Demurrage Negotiator,Industrial Placement Process Engineer,Process Engineer,Senior Process Engineer,Senior Process Engineer,London; United Kingdom,Warrington; United Kingdom,Leatherhead,London; United Kingdom,Kuala Lumpur; Malaysia,month:12;year:2005,month:9;year:2006,month:7;year:2002,month:8;year:2003,month:9;year:2006,month:12;year:2007,month:1;year:2008,month:8;year:2016,month:9;year:2012,month:10;year:2015,
99,University of Calgary,Cybera Inc,Japan Exchange and Teaching Program(me) (JET),,,Post-doctoral Fellow,Project Manager,Assistant Language Teacher,,,Calgary; Canada Area,,,,,month:1;year:2010,month:6;year:2010,year:2012,,month:8;year:2010,month:8;year:2011,,,,,
100,Freshfields Bruckhaus Deringer LLP,Nous Group,Nous Group,Freehills,Nous Group,Associate,Consultant,Director,Solicitor,Senior Consultant,Hanoi; Vietnam,Melbourne; Australia,Melbourne; Australia,Melbourne; Australia,,month:2;year:2011,month:5;year:2012,month:5;year:2013,month:6;year:2014,month:6;year:2016,,month:3;year:2006,month:1;year:2011,month:6;year:2014,month:6;year:2016,
101,CCMA i CCRTVi,Omaonk,InfoJobs,Telefónica I+D,Avaya,Software engineer TV3 (Nextret),Software Engineer,Software Engineer,Software engineer,Software Engineer,Esplugues del Llobregat,Barcelona; Catalonia; Spain,Barcelona,Barcelona; Catalonia; Spain,Ireland,month:2;year:2010,month:5;year:2013,month:3;year:2008,month:1;year:2009,month:5;year:2013,,month:2;year:2009,month:2;year:2010,month:1;year:2007,month:9;year:2007,
102,Microsoft,Microsoft,Microsoft,Data Science Dojo,Microsoft,Sr. Director; Platform Architecture,Principal Program Manager/Data Scientist,Sr. Director; BI and Analytics,Vice President of Data Science,Principal Architect,Redmond; WA,Redmond; WA,Redmond; WA,Redmond; WA,Redmond; WA,month:1;year:2014,month:1;year:2014,month:11;year:2015,month:11;year:2015,month:5;year:2016,month:5;year:2016,month:2;year:2017,month:2;year:2017,month:11;year:2011,month:11;year:2011,
103,Ralph Lauren,Freshfields Bruckhaus Deringer,Hearst Magazines,Star-Join Solutions Ltd.,Marshall Wace,Business Intelligence / Data Warehouse Consultant,Business Intelligence & Analysis Consultant,Business Intelligence / Data Warehouse Consultant,Director,Business Intelligence Consultant,London; United Kingdom,London; United Kingdom,London; United Kingdom,London; United Kingdom,London; United Kingdom,month:6;year:2013,month:6;year:2013,month:3;year:2015,month:3;year:2015,month:6;year:2012,month:6;year:2012,month:8;year:2011,month:8;year:2011,month:4;year:2016,month:4;year:2016,
104,ING DIRECT Canada,Scotiabank,ING DIRECT Canada,ING DIRECT Canada,B2B Bank,Mortgage Associate - Lending Department,Manager - Business Management Information; IB Finance - BIS,Business Analyst - Project Management Office,Reporting Analyst - Strategic Planning & Business Intelligence,Senior Analyst - Operational Effectiveness,(Contract),,,,,year:2007,year:2008,month:10;year:2012,,year:2010,year:2012,year:2008,year:2010,year:2012,year:2012,
105,Microsoft,Microsoft,Northrop Grumman Corporation,Microsoft,Velocity Partners,Software Architect; OEM IT Engineering,Senior Software Engineer; OEM IT Engineering,Senior Software Consultant,Software Architect; Microsoft Products & Services IT,Senior Software Consultant,Greater Seattle Area,Greater Seattle Area,Sierra Vista; AZ,Greater Seattle Area,Bellevue; WA,month:4;year:2010,month:6;year:2012,month:6;year:2007,month:4;year:2010,month:3;year:2005,month:11;year:2005,month:7;year:2012,,month:1;year:2006,month:6;year:2007,
106,Pentawave (IdealHire Inc),Avanade,Liftable Media Inc,American Express,Avanade,VP of Development,Executive; Global Analytics (Data Architecture & Engineering),CIO/CTO,VP; PAYBACK Technologies,Senior Director,Phoenix; Arizona Area,Phoenix; Arizona Area,,,,month:4;year:1999,month:2;year:2001,month:2;year:2014,month:12;year:2016,month:1;year:2017,,month:9;year:2013,month:2;year:2014,month:3;year:2001,month:9;year:2013,
107,ElectricFertilizer.com,Aclara,Aclara,The Bentley Group; LLC,DRS SSI,Founder,Principal Systems Engineer,Software Test Engineer,Owner,Principal System Engineer,Greater St. Louis Area,Hazelwood; MO,,,,month:2;year:2011,,month:9;year:2010,month:11;year:2014,month:2;year:2010,month:9;year:2010,month:4;year:2001,month:3;year:2012,month:3;year:2015,,
108,,,,,,,,,,,,,,,,,,,,,,,,,,
109,HCL Technologies (Infrastructure Services Division),UnitedHealth Group,UnitedHealth Group,HCL Technologies Ltd.,,Specialist,Sr. IT Operating System Analyst,IT Infrastructure Analyst,Specialist,,Noida Area; India,Noida Area; India,Noida Area; India,,,month:8;year:2010,month:6;year:2013,month:7;year:2013,,month:7;year:2013,,month:8;year:2010,month:6;year:2013,,,
110,Prudential Financial,The Nielsen Company,Getit Infomediary Ltd,Fidelity Investments,TNS Global,Director; Data Analytics,Manager; Client Solutions,District Sales Manager,Senior Lead - Market Research & Insights,Management Trainee,Greater Boston Area,,,,,month:2;year:2015,,year:2004,year:2007,year:2003,year:2004,month:6;year:2007,month:1;year:2015,month:3;year:2002,month:5;year:2002,
111,BASF Corporation,Americas Styrenics; LLC,Chalmette Refining; LLC,Americas Styrenics; LLC,Millennium Petrochemicals,Engineer Sr,Process Control Engineer,Systems Engineer,Process Engineer,Research Specialist; Advanced Control/Modeling Group,,,,,,month:11;year:2010,month:5;year:2015,year:1997,year:2009,month:4;year:2009,month:8;year:2010,year:1997,year:1999,year:1997,year:1997,
112,Three Deep Marketing,Bigfoot Analytics,OptiMine Software; Inc.,When I Work,Demand Quest; Inc.,Analytics Manager,Founder & Chief Insights Analyst,Senior SEM Analyst,Head of Analytics & Data Hacker,Analytics Instructor,Saint Paul; MN,Saint Paul; MN,Saint Paul; MN,Saint Paul; MN,Greater Minneapolis-St. Paul Area,year:2013,year:2014,year:2012,,year:2012,year:2013,year:2014,,month:1;year:2017,,
113,SiEBEN Ltd,GVC Group,,,,Business Software Consultant,Business Analyst,,,,Greece,Gibraltar,,,,month:7;year:2012,month:7;year:2014,month:1;year:2016,,,,,,,,
114,Cisco Systems,Amazon Web Services,Amazon Web Services,Cisco Systems,Procter & Gamble,Software Engineer - Intern,Software Development Engineer,Software Development Engineer,Software Engineer Intern,Electrical Engineering Intern,San Jose; CA,Seattle; Washington,Seattle; Washington,,,month:5;year:2012,month:8;year:2012,month:7;year:2013,month:5;year:2016,month:5;year:2016,,month:5;year:2011,month:8;year:2011,month:5;year:2010,month:8;year:2010,
115,Microsoft,University of Western Ontario,Microsoft,University of Western Ontario,,Software Development Engineer in Test Intern,PhD Student,Software Development Engineer in Test intern,Limited Duties Lecturer,,Redmond; WA,Redmond; WA,,,,month:5;year:2012,month:8;year:2012,month:1;year:2011,month:5;year:2015,month:6;year:2013,month:8;year:2013,year:2010,year:2014,,,
116,Ferrum College,Global Consulting and Innovations; Inc,CAC,,,Computer Information Systems Professor,Consultant,,,,,,,,,month:8;year:2012,,month:11;year:2004,month:8;year:2011,,,,,,,
117,Microsoft,Intuit,CM Concordia Consulting; LLC,Microsoft,Microsoft,Business Program Manager Intern (MBA); OEM Business Intelligence,Project Consultant,President,Program Manager; OEM Business Intelligence,Team Lead; Field Project Business Consultant,Reno; Nevada Area,Tucson; Arizona Area,Tucson; Arizona Area,Reno; Nevada Area,Redmond; WA,month:6;year:2014,month:8;year:2014,month:8;year:2014,month:12;year:2014,month:6;year:2010,month:9;year:2013,month:7;year:2015,,month:1;year:2014,month:5;year:2014,
118,Seattle Fire Department,Endvr/Microsoft,Microsoft,Microsoft,Microsoft,Programmer/Analyst,DBMS Production Lead,MM Analytics,Sr.Marketing Manager; Marketing Analytics,Sr. Program Manager,,,,,,month:7;year:2005,month:7;year:2005,month:12;year:2005,month:12;year:2005,month:12;year:2007,month:12;year:2007,month:12;year:2007,month:12;year:2007,month:10;year:2011,month:10;year:2011,
119,Globys Inc,Battelle Seattle Research Center,Allrecipes.com,Allrecipes.com,Amazon,Director of Software Engineering,Senior Application Analyst,Software Engineering Manager,Software Engineering Manager,Software Development Manager,Greater Seattle Area,Greater Seattle Area,Greater Seattle Area,Greater Seattle Area,Seattle; Washington,month:3;year:2015,month:4;year:2016,month:6;year:2009,month:10;year:2010,month:4;year:2016,month:7;year:2016,month:10;year:2010,month:3;year:2015,month:7;year:2016,,
120,IBGE,Endeeper,Endeeper,Bull,Endeeper,Software Architect - Data Analysis and Software for Economy,Software Technical Lead,Project Manager,Software Developer Intern,International Business Development - Partner - Oil and Gas Software (E&P),Rio de Janeiro Area; Brazil,Porto Alegre Area; Brazil,Porto Alegre Area; Brazil,Grenoble Area; France,Multiple Locations,month:6;year:2010,month:3;year:2015,month:3;year:2007,month:8;year:2008,month:9;year:2008,month:3;year:2010,month:2;year:2006,month:7;year:2006,month:5;year:2010,,
121,OCBC Bank,UOB Bank (M) Bhd,ANZ,HSBC Data Processing (M) Bhd,OCBC Bank (M) Bhd,Assistant Vice President,Vice President,Associate Director,Global Support Executive,Manager,,,,,,month:6;year:2007,month:12;year:2011,month:1;year:2012,month:5;year:2013,month:6;year:2013,,month:7;year:2004,month:3;year:2005,month:4;year:2005,month:5;year:2007,
122,PwC Mexico,PwC Mexico,Instituto Internacional de Ciencia de Datos,PwC Mexico,PwC Mexico,Junior Research Analyst; Knowledge Center México,Research Analyst; Knowledge Center,Fellow,Senior Consultant; Data & Analytics,Senior Consultant; Knowledge Center,Mexico City Area; Mexico,Mexico,Mexico,,,month:11;year:2012,month:7;year:2014,month:7;year:2014,month:6;year:2015,month:7;year:2016,,month:6;year:2016,month:12;year:2016,month:6;year:2015,month:5;year:2016,
123,,,,,,,,,,,,,,,,,,,,,,,,,,
124,United Arab Emirates University,SEA Tecnologia,University of Texas at El Paso,A Fantástica Fábrica de Tecnologia,Universidade de Brasília,Research Assistant,Embedded Software Engineer,PhD Internship,Co-founder & CTO,Postdoc Researcher in Mechatronics,Al Ain; Abu Dhabi; United Arab Emirates,El Paso; Texas,Brasília Area; Brazil,Brasília Area; Brazil,,month:8;year:2009,month:3;year:2010,month:4;year:2010,month:9;year:2010,month:4;year:2013,month:2;year:2014,month:7;year:2011,,month:9;year:2015,month:8;year:2016,
125,,,,,,,,,,,,,,,,,,,,,,,,,,
126,Kolipri Communications; Inc.,Information Gateway; Inc.,lloopp Natural Intelligence Solutions,Smart Communications; Inc.,Haribon Technologies,Manager; Product Development,Senior WAP Developer,Sr. Developer,Sr. Manager,Consultant,,,,,,month:9;year:2007,month:6;year:2012,year:2005,year:2007,month:4;year:2016,,month:7;year:2012,month:12;year:2012,month:2;year:2013,month:3;year:2016,
127,Israel Defense Forces,Gartner Innovation Center,Israel Defense Forces,Israel Defense Forces,Gartner Innovation Center,Software developer,Dev leader,Team leader,Senior software developer,Software developer,,,,,,year:2008,year:2011,year:2016,,year:2013,year:2014,year:2011,year:2013,year:2015,year:2016,
128,National Security Agency,National Security Agency,National Security Agency,Amazon,Auth0,Network Security Analyst - Contractor,Network Security Analyst/Coder - Contractor,Sr. Information Assurance Engineer - Contractor,Senior Security Engineer,Director of Security,Seattle; WA,Bellevue; WA,,,,month:2;year:2006,month:1;year:2009,month:1;year:2009,month:8;year:2011,month:11;year:2003,month:2;year:2006,month:8;year:2011,month:9;year:2015,month:9;year:2015,,
129,Stanford University,MIT,Intel Corporation,Intel Corporation,Stanford University,Graduate Student in Physics,Research Assistant,Senior Yield Analyst,Senior Process Engineer,Teaching Assistant,Stanford; California,Hillsboro; Oregon,Hillsboro; Oregon,,,month:9;year:2003,month:12;year:2009,month:6;year:2002,month:6;year:2003,month:1;year:2015,,month:8;year:2010,month:12;year:2014,month:9;year:2003,month:12;year:2006,
130,Track DDB,Northbridge Insurance,Evisors,Track DDB,Amphenol Canada Corp,Senior Data Analyst,Underwriting Co-op,Marketing & Operations Intern,Data Analyst,Marketing Analyst,Toronto; Canada Area,Toronto; Canada Area,New York; NY; USA,Toronto; Canada Area,Toronto; Canada Area,month:9;year:2016,,month:9;year:2014,month:12;year:2014,month:1;year:2014,month:4;year:2014,month:9;year:2015,month:9;year:2016,month:1;year:2013,month:4;year:2013,
131,McKinsey & Company,Ferst Capital Partners,McGill University School of Continuing Studies,McKinsey & Company,Ferst Digital,Associate,Entrepreneur in Residence,Guest Faculty (Course: Basic Business Skills / Topic: Strategy and structured decision-making),Senior Engagement Manager,Founder and CEO,Montreal; Canada Area,Montreal; Canada Area,Canada,,,month:8;year:2010,month:8;year:2012,month:9;year:2015,,month:10;year:2011,,month:8;year:2012,month:4;year:2015,month:3;year:2016,,
132,ATB Financial,ATB Financial,ENMAX,Frostbyte Consulting,FFontes Analytics Inc.,Project Manager ( Contractor ),Senior Project Analyst ( Contractor ),Project Manager,Project Manager ( Contractor ),Managing Director,Calgary; Canada Area,Calgary; Canada Area,Calgary; Canada Area,,,month:4;year:2013,,month:4;year:2011,month:1;year:2012,month:12;year:2008,month:3;year:2011,month:2;year:2012,month:4;year:2013,month:4;year:2011,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,
134,IceMobile,D.E MASTER BLENDERS 1753,Loopbaaninzicht,Bureau voor Kwaliteitszorg,IceMobile,Customer insights analyst,Barista,Testing for career advice,QA Consultant,Product Management Intern,Amsterdam Area; Netherlands,Utrecht Area; Netherlands,Utrecht Area; Netherlands,Hogeveen,Amsterdam Area; Netherlands,month:5;year:2014,,month:6;year:2006,month:10;year:2013,month:3;year:2012,month:1;year:2014,month:3;year:2014,month:5;year:2014,month:9;year:2013,month:2;year:2014,
135,Workers' Compensation Insurance Rating Bureau of California,Rafter; Inc.,FiveStars,The Tech Museum of Innovation,,Medical Data Analyst,Business Analyst,Data Analyst,,,San Francisco; CA,San Mateo; CA,San Francisco; CA,,,month:2;year:2013,month:8;year:2014,month:6;year:2015,month:2;year:2016,month:7;year:2016,,,,,,
136,Propertize,Rabobank Heerenveen-Zuidoost Friesland,Rabobank Oost Betuwe,United4You,Rabobank Apeldoorn en Omgeving,Intern Accountmanager Restructuring & Recovery,Intern Accountmanager Zakelijke Relaties,Adviseur Bedrijven,Interim Bancair Professional United4You,Intern Accountmanager Zakelijke Relaties & V&S Adviseur Bedrijven B,Utrecht Area; Netherlands,Heerenveen,Elst,Hoevelaken,Apeldoorn Area; Netherlands,month:7;year:2014,,month:10;year:2013,month:2;year:2014,month:3;year:2013,month:9;year:2013,month:1;year:2011,month:7;year:2014,month:4;year:2014,month:6;year:2014,
137,ELEXON,Financial Microscope,Ofcom,Littlewoods,Harrods,Data Architect-BI,Data Manager,Data Architect/Data Migration Consultant,Business Analyst / Data Analyst,Lead Data Consultant/Data Project Manager,London,London; United Kingdom,Hammersmith,London,London; United Kingdom,month:2;year:2015,month:2;year:2015,month:10;year:2015,month:10;year:2015,month:2;year:2007,month:2;year:2007,month:10;year:2005,month:10;year:2005,month:12;year:2015,month:12;year:2015,
138,Cognizant Technology Solutions,KLA-Tencor,Oracle,,,Programmer Analyst,Senior Solutions Consultant,Senior Application Engineer,,,Singapore,,,,,month:8;year:2004,month:10;year:2005,month:4;year:2008,,month:10;year:2005,month:4;year:2008,,,,,
139,REI,North Seattle College,Data Science Dojo,AIESEC Seattle,POSSIBLE,Web Analyst,Program Coordinator Part-time,Marketing Manager Intern,Director of Social Media,Digital Analyst Intern,Kent,United States,Redmond,Seattle,,month:5;year:2016,,month:4;year:2012,month:6;year:2015,month:7;year:2015,month:9;year:2015,month:11;year:2014,month:6;year:2015,month:1;year:2016,month:3;year:2016,
140,Microsoft,Microsoft,Microsoft,Microsoft,Microsoft,Academic Program Manager – Software Access and Adoption,Senior Program Manager Lead,Senior Business Solution Manager,Group Program Manager – Supportability,Senior Technical Program Manager,Ann Arbor,Redmond,Redmond,Redmond; WA,Redmond; WA,month:1;year:2005,month:1;year:2005,month:3;year:2011,month:3;year:2011,month:2;year:2013,month:2;year:2013,month:10;year:2002,month:10;year:2002,month:8;year:2014,month:8;year:2014,
141,T-Mobile,T-Mobile,Washington State Board for Community and Technical Colleges,T-Mobile,T-Mobile,Security Operations Manager,Manager Systems Design and Strategy,Senior Network Consultant,Principal Network Engineer,Senior Network Engineer,Greater Seattle Area,Greater Seattle Area,,,,month:9;year:2016,,month:1;year:2013,month:8;year:2016,month:5;year:2008,month:3;year:2010,month:10;year:2011,month:1;year:2013,month:9;year:2010,month:10;year:2011,
142,Penn State University,Pepperdine University,Heritage Christian School,University of California; Los Angeles,University of Virginia,Research Staff,Visiting Professor of Physics,AP Technology/AP Physics Teacher,Associate Development Engineer,Graduate Research & Technology Support Fellow,State College; PA,Malibu; CA,Northridge; CA,Charlottesville; VA,,month:5;year:2002,month:6;year:2006,month:8;year:2012,month:8;year:2014,month:8;year:2014,month:8;year:2016,month:1;year:2017,,month:6;year:2006,month:8;year:2012,
143,Westinghouse Electric Company,Pacific Northwest National Laboratory,Westinghouse Electric Company,University of Pittsburgh,Washington State University,Fellow (Advisory) Engineer,Staff Engineer IV,Fellow Nuclear Physicist,Adjunct Professor; Mechanical Engineering and Materials Science,Adjunct Faculty,Cranberry Township; PA,Richland/Kennewick/Pasco; Washington Area,Greater Pittsburgh Area,Pittsburgh; PA,Richland/Kennewick/Pasco; Washington Area,month:9;year:2004,month:9;year:2004,month:12;year:2014,month:12;year:2014,month:2;year:2014,month:2;year:2014,month:4;year:2013,month:4;year:2013,month:1;year:2015,month:1;year:2015,
144,The University of Texas at El Paso,Rutgers University,LIMBS International,Rutgers University,Rutgers University,Research Associate,Graduate Research Assistant,Contractor - Research Coordinator,Undergraduate Research Assistant,Graduate Grading Assistant,El Paso; Texas,New Brunswick; New Jersey,El Paso; Texas,New Brunswick; New Jersey,,month:11;year:2015,,month:5;year:2014,month:5;year:2015,month:8;year:2015,month:11;year:2015,month:5;year:2012,month:5;year:2014,month:9;year:2014,month:1;year:2015,
145,Sojern Inc,Galvanize,National Center for Supercomputing Applications; UIUC,,,Systems Software Engineer,DataScience Immersive Program,Researcher,,,San Francisco Bay Area,San Francisco Bay Area,Urbana-Champaign; Illinois Area,,,month:11;year:2014,month:9;year:2015,month:8;year:2016,,month:8;year:2009,month:8;year:2013,,,,,
146,,,,,,,,,,,,,,,,,,,,,,,,,,
147,HTC Global Services,Highmark Inc.,Nebraska Department of Health and Human Services,Texas Medicaid & Healthcare Partnership,Aetna,Technical Consultant,Medical Economic Consultant,Sr.Business/ Data Analyst Consultant,Sr. Business/ Data Analyst Consultant,Sr.Business/ Data Analyst,Blue Bell; PA,Lincoln; Nebraska Area,Austin; TX,Blue Bell; PA,,month:2;year:2011,month:11;year:2016,month:11;year:2016,,month:7;year:2010,month:2;year:2011,month:6;year:2008,month:7;year:2010,month:2;year:2011,month:11;year:2016,
148,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,,,,,,
150,Microsoft,Microsoft,Amazon,Microsoft,Microsoft,Development Manager,Manager Program Management,Manager;TPM-Amazon Business(I am hiring!!!),Program Management,Development Manager- Microsoft India,Greater Seattle Area,Greater Seattle Area,Greater Seattle Area,Greater Seattle Area,Hyderabad Area; India,month:2;year:2006,month:1;year:2009,month:4;year:2014,,month:9;year:2016,,month:1;year:2009,month:4;year:2014,month:7;year:2003,month:2;year:2006,
151,AIS Software,Microsoft,IT Software UK Ltd.,KPIT Cummins,Northwest Harvest,Software Consultant,Senior Software Engineer,Development Manager,Systems Manager,Software Consultant,Austin; Texas Area,Redmond,UK,Austin; Texas Area,Redmond,month:7;year:2000,month:7;year:2000,month:4;year:2008,month:4;year:2008,month:1;year:2006,month:1;year:2006,month:7;year:2003,month:7;year:2003,month:7;year:2000,month:7;year:2000,
152,Stored Value Solutions (SVS),University of Louisville,The Rawlings Group,Ubicutech,University of Louisville,Network Operations,University Fellow and Graduate Research Assistant,Software Developer,Chief Scientist,Postdoctoral Researcher,Louisville; Kentucky Area,CVIP Laboratory,Louisville; Kentucky Area,Louisville; Kentucky,CVIP Laboratory,month:11;year:2015,month:12;year:2016,month:5;year:2004,month:6;year:2011,month:12;year:2016,,month:8;year:2012,month:10;year:2015,month:7;year:2011,month:10;year:2012,
153,Data Science Dojo,IBM Canada,,,,Student,Software Developer,,,,,,,,,year:2015,year:2015,month:7;year:2007,,,,,,,,
