s,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1,2,3,4,5,1
27,Trapeze Group,Direct Energy,RBC,Sun Media,Blueprint Software Systems,Retention & Loyalty Manager,Marketing Business Analyst,Marketing Coordinator,Senior Business Analyst; Sales and Services,Online Community Manager,Toronto; Canada Area,Toronto; Canada Area,Toronto; Canada Area,Toronto; Canada Area,Toronto; Canada Area,month:4;year:2015,month:12;year:2016,month:10;year:2008,month:8;year:2011,month:3;year:2006,month:3;year:2007,month:8;year:2011,month:4;year:2015,month:1;year:2017,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,
29,2M Research Services,University of Nevada School of Medicine,2M Research Services,National Cancer Institute (NCI),Dr. Susan Love Research Foundation,Statistician,Tracking and Evaluation Coordinator CTR-IN,Statistician,Cancer Research Training Award Fellow,Epidemiology Research Manager,Arlington; TX,Las Vegas; Nevada,Rockville; MD,,,month:5;year:2016,,month:7;year:2015,month:5;year:2016,month:6;year:2013,month:7;year:2014,month:7;year:2014,month:6;year:2015,,,
30,Learnit BV,BrandLoyalty,BrandLoyalty,WEBER Creatives,Holista Colltech; Kuala Lumpur Malaysia,E-commerce & Communication Marketeer,Master Thesis Research Student,Customer Insights Analyst,Marketing Trainee,Marketing Trainee,Groningen; Netherlands,Groningen; Netherlands,'s Hertogenbosch,Groningen; Netherlands,Kuala Lumpur; Malaysia,month:10;year:2013,month:10;year:2014,month:2;year:2014,month:7;year:2014,month:11;year:2014,,month:2;year:2011,month:6;year:2011,month:9;year:2010,month:1;year:2011,
31,MASS Engines,Influitive,Influitive,Influitive,Influitive,Analyst; Digital Marketing,Support Operations Lead; Customer Success,Operations Analyst; Customer Success,Support Magician; Customer Success,Senior Operations Analyst; Product,Toronto; Canada Area,Toronto; Canada Area,Toronto; Canada Area,Toronto; Canada Area,Toronto; Canada Area,month:12;year:2014,month:5;year:2015,month:10;year:2015,month:4;year:2016,month:4;year:2016,month:8;year:2016,month:5;year:2015,month:3;year:2016,month:8;year:2016,,
32,MAQ Software,Murphy & Associates; Inc.,Wimmer Solutions,MAQ Software,Microsoft,Senior Technical Program Manager,Principal Business Program Manager,Principal Solution Manager,Software Development Lead; Lead Software Developer,Technical Program Management,Redmond; USA,Redmond,Redmond,Mumbai; India,Redmond,year:2006,year:2013,year:2014,year:2015,year:2013,year:2014,year:2004,year:2006,year:2015,,
33,Wagner Colora,Microsoft,Microsoft,Microsoft,Microsoft,IT Manager - Wagner Group Italy,Program Manager - Big Data - HdInsight Service; Hadoop,Program Manager - SQL Server Release Team,Solution Manager and Program Manager in the Windows Server Engineering System,Program Manager in the Windows Azure Engineering System team,Redmond,Greater Seattle Area,,,,month:5;year:2000,month:2;year:2007,month:9;year:2013,,month:4;year:2007,month:11;year:2010,month:11;year:2010,month:10;year:2012,month:10;year:2012,month:9;year:2013,
34,Avatar Interactive,TBF Technilogies,Microsoft,Slingshot Communications,SolutionsIQ,Test Engineer,Test Lead,Senior Software Engineer,Test Engineer,Test Engineer,,,,,,year:1998,year:1999,month:3;year:2000,month:5;year:2001,month:8;year:2006,,month:4;year:2001,month:5;year:2002,month:7;year:2002,month:8;year:2006,
35,,,,,,,,,,,,,,,,,,,,,,,,,,
36,The Shop at VSP Global,Eyefinity,Accenture,,,Senior Application Developer,Senior Software Engineer,Application Developer,,,Rancho Cordova; CA,Rancho Cordova; CA,,,,month:5;year:2014,,month:4;year:2008,month:4;year:2014,month:1;year:2004,month:4;year:2008,,,,,
37,University of Wisconsin-Madison,DCI-Artform,CUNA Mutual Group,CUNA Mutual Group,St. Clare Meadows Care Center,Teaching Assistant,Summer Intern,Business Systems Developer/Analyst/Consultant,Business Systems Senior Consultant,,Greater Milwaukee Area,,,,,month:9;year:1989,month:5;year:1991,month:6;year:1989,month:8;year:1989,month:6;year:1991,month:6;year:1997,month:6;year:1997,,,,
38,UC Berkeley,Intel Corporation,Intel Corporation,The Johns Hopkins University Applied Physics Laboratory,Johns Hopkins University Applied Physics Laboratory,Graduate Student Researcher,Graduate Intern Technical - Computer Architecture,Software Engineering Intern - Graduate,Senior Professional Staff,Technical Aide,Berkeley; CA,Hillsboro; OR,Hillsboro; OR,,,month:8;year:2008,month:8;year:2014,month:5;year:2012,month:8;year:2012,month:5;year:2013,month:8;year:2013,month:11;year:2014,,month:6;year:2010,month:8;year:2010,
39,Care1st Health Plan - Yes; its all about you.,Resources Online,Onvia,Onvia,Microsoft Bing,Program Analyst,Software Developer,Software Developer,XML Programmer,Software Engineer - Consultant,Monterey Park; CA,Greater Seattle Area,Seattle,Seattle,Microsoft City Center Bellevue; Washington,month:7;year:2015,month:8;year:2016,month:5;year:2003,month:7;year:2013,month:10;year:2014,month:3;year:2015,month:7;year:2013,month:10;year:2014,month:4;year:2015,month:7;year:2015,
