s,,,,,,,,,,,,,,,,,,,
201,Microsoft SQL Server,SAS,Inteligencia empresarial,Planificación estratégica,Business Strategy,Tableau software,Estrategia empresarial,Management Consulting,Mejora de procesos de negocio,,,,,,,,,,
202,Data Science,Machine Learning,Predictive Analytics,Research Design,Data Analysis,Supervised learning,Unsupervised Learning,Research,Statistics,,,,,,,,,,
203,Data Science,Python,Microsoft Office,Linux,Java,Bioinformatics,Data Analysis,Research,Statistics,,,,,,,,,,
204,Process Improvement,Integration,Energy,Leadership,Program Management,Project Management,Analysis,Cross-functional Team Leadership,Business Analysis,,,,,,,,,,
205,,,,,,,,,,,,,,,,,,,
206,Microsoft Excel,French,Microsoft Office,Data Analysis,Financial Analysis,English,,,,,,,,,,,,,
207,Software Project Management,Software Design,Cloud Computing,Agile Methodologies,Web Services,Microsoft SQL Server,C#,Software Development,.NET,,,,,,,,,,
208,ETL,Teradata,MicroStrategy,Data Warehousing,PowerCenter,Business Intelligence,SQL,Analysis,Databases,,,,,,,,,,
209,SOA Testing,Cloud Computing,TOGAF,Weblogic,Middleware,SOA Governance,Java Enterprise Edition,SOA,Enterprise Architecture,Open Group TOGAF Part I,Oracle SOA Suite,,,,,,,,
210,SEO,Omniture,Analytics,Online Marketing,SEM,Web Analytics,Web Marketing,Digital Media,Google Analytics,,,,,,,,,,
211,,,,,,,,,,,,,,,,,,,
212,Physics,Materials Science,Science,R&D,Strategy,Data Analysis,Project Management,Research,Nanotechnology,,,,,,,,,,
213,Python,Economics,Bloomberg Terminal,Business Strategy,Econometrics,R,Bloomberg,Quantitative Finance,Financial Modeling,,,,,,,,,,
214,Analytics,Forecasting,SAS programming,Predictive Analytics,Pricing Analysis,Business Analytics,Market Research,Data Analysis,Marketing Mix Modeling,,,,,,,,,,
215,System Testing,Software Quality Assurance,Regression Testing,Testing,Test Automation,Agile Methodologies,SDLC,Test Planning,Test Cases,Scrum,,,,,,,,,
216,ETL,IT Strategy,Data Warehouse Architecture,Solution Architecture,Data Warehousing,Application Architecture,Business Intelligence,Master Data Management,Data Modeling,Credit Cards,Enterprise Architecture,,,,,,,,
